meat_type,date,price
"Beef, kg",2021-01-13,11396.0
"Horse meat, kg",2021-01-13,9028.0
"Goat meat, kg",2021-01-13,7800.0
"Mutton, kg",2021-01-20,9261.0
"Beef, kg",2021-01-20,11746.0
"Horse meat, kg",2021-01-20,9028.0
"Goat meat, kg",2021-01-20,7800.0
"Mutton, kg",2021-01-27,9368.0
"Beef, kg",2021-01-27,11952.0
"Horse meat, kg",2021-01-27,9028.0
"Goat meat, kg",2021-01-27,7899.0
"Mutton, kg",2021-02-03,10554.0
"Beef, kg",2021-02-03,12863.0
"Horse meat, kg",2021-02-03,9643.0
"Goat meat, kg",2021-02-03,8746.0
"Mutton, kg",2021-02-10,10579.0
"Beef, kg",2021-02-10,12604.0
"Horse meat, kg",2021-02-10,9577.0
"Goat meat, kg",2021-02-10,8746.0
"Mutton, kg",2021-02-17,10458.0
"Beef, kg",2021-02-17,12492.0
"Horse meat, kg",2021-02-17,9577.0
"Goat meat, kg",2021-02-17,8746.0
"Mutton, kg",2021-02-24,10248.0
"Beef, kg",2021-02-24,12466.0
"Horse meat, kg",2021-02-24,9643.0
"Goat meat, kg",2021-02-24,8746.0
